Achillea millefolium
Acorus Americanus
Agastache foeniculum
Agastache nepetoides
Ageratina altissima
Allium cernuum
Andropogon gerardii
Anemone Patens
Anemone virginiana
Antennaria plantaginifolia
Apocynum androsaemifolium
Arisaema triphyllum
Artemisia ludoviciana
Aruncus dioicus
Asclepias syriaca
Asimina triloba
Baptisia alba
Baptisia australis
Bidens frondosa
Bouteloua curtipendula
Bromus Pubescens
Campanula americana
Carex Rosea
Celtis tenuifolia
Cephalanthus occidentalis
Cercis canadensis
Chamaecrista fasciculata
Chasmanthium latifolium
Cirsium altissimu
Clematis virginiana
Coreopsis palmata
Coreopsis tripteris
Cornus Alternifolia
Cornus Sericea
Danthonia spicata
Desmodium canadense
Diervilla lonicera
Dioscorea villosa
Dodecatheon meadia
Doellingeria umbellata
Elymus canadensis
Elymus hystrix
Erechtites hieraciifolius
Erigeron pulchellus
Eryngium yuccifolium
Euonymus obovatus
Eupatorium perfoliatum
Euphorbia Corollata
Euthamia Graminifolia
Eutrochium fistulosum
Eutrochium maculatum
Eutrochium purpureum
Helenium autumnale
Helianthus strumosus
Helianthus tuberosus
Heliopsis helianthoides
Heracleum maximum
Heuchera Richardsonii
Hibiscus moscheutos
Hylodesmum glutinosum
Hypericom Prolificum
Liatris aspera
Liatris scariosa
Lindera benzoin
Lobelia cardinalis
Mertensia virginica
Micranthes pensylvanica
Mimulus ringens
Monarda fistulosa
Monarda punctata
Oenothera biennis
Oligoneuron riddellii 
Oligoneuron rigidum
Panicum virgatum
Penstemon Calycosus
Physocarpus opulifolius
Physostegia virginiana
Phytolacca americana
Polemonium Reptans
Pseudognaphalium obtusifolium
Ptelea Trifoliata
Ratibida pinnata
Rhus typthina
Rosa Carolina
Rudbeckia fulgida
Rudbeckia laciniata
Rudbeckia triloba
Salvia Azurea
Scrophularia marilandica
Senna hebecarpa
Silphium integrifolium
Silphium laciniatum
Silphium perfoliatum
Silphium terebinthinaceum
Solidago caesia
Solidago canadensis
Solidago flexicaulis
Solidago juncea
Solidago nemoralis
Sorghastrum nutans
Spirea tomentosa
Symphyotrichum cordifolium
Symphyotrichum lanceolatum
Symphyotrichum novae-angliae
Symphyotrichum shortii
Thalictrum dasycarpum
Tradescantia ohiensis
Tridens flavus
Verbena hastata
Vernonia fasciculata
Vernonia gigantea
Vernonia missurica
Veronicastrum virginicum
Wisteria frutescens
