Achillea millefolium
Acorus Americanus
Actaea pachypoda
Agastache foeniculum
Agastache nepetoides
Ageratina altissima
Allium cernuum
Anaphalis margaritacea
Andropogon gerardii
Anemone cylindrica
Anemone Patens
Anemone virginiana
Antennaria neglecta
Antennaria plantaginifolia
Apocynum androsaemifolium
Aquilegia canadensis
Aralia racemosa
Arisaema triphyllum
Artemisia ludoviciana
Aruncus dioicus
Asclepias exaltata
Asclepias incarnata
Asclepias syriaca
Asclepias tuberosa
Asimina triloba
Baptisia alba
Baptisia australis
Bidens frondosa
Blephilia ciliata
Bouteloua curtipendula
Bromus Pubescens
Campanula americana
Carex grayi
Carex plantaginea
Carex Rosea
Carex sprengelii
Carex vulpinoidea
Ceanothus americanus
Celtis tenuifolia
Cephalanthus occidentalis
Cercis canadensis
Chamaecrista fasciculata
Chasmanthium latifolium
Chelone glabra
Cirsium altissimu
Clematis virginiana
Coreopsis lanceolata
Coreopsis palmata
Coreopsis tripteris
Cornus Alternifolia
Cornus Sericea
Dalea candida
Dalea purpurea
Danthonia spicata
Desmodium canadense
Diervilla lonicera
Dioscorea villosa
Dodecatheon meadia
Doellingeria umbellata
Echinacea pallida
Echinacea purpurea
Elymus canadensis
Elymus hystrix
Elymus villosus
Eragrostis spectabilis
Erechtites hieraciifolius
Erigeron pulchellus
Eryngium yuccifolium
Euonymus obovatus
Eupatorium perfoliatum
Euphorbia Corollata
Eurybia macrophylla
Euthamia Graminifolia
Eutrochium fistulosum
Eutrochium maculatum
Eutrochium purpureum
Fragaria virginiana
Gentiana andrewsii
Geranium maculatum
Geum triflorum
Helenium autumnale
Helianthus strumosus
Helianthus tuberosus
Heliopsis helianthoides
Heracleum maximum
Heuchera americana
Heuchera Richardsonii
Hibiscus moscheutos
Hylodesmum glutinosum
Hypericom Prolificum
Iris virginica
Liatris aspera
Liatris scariosa
Liatris spicata
Lindera benzoin
Lobelia cardinalis
Lobelia siphilitica
Lupinus perennis
Mertensia virginica
Micranthes pensylvanica
Mimulus ringens
Monarda fistulosa
Monarda punctata
Oenothera biennis
Oligoneuron riddellii 
Oligoneuron rigidum
Panicum virgatum
Penstemon Calycosus
Penstemon digitalis
Penstemon hirsutus
Physocarpus opulifolius
Physostegia virginiana
Phytolacca americana
Polemonium Reptans
Pseudognaphalium obtusifolium
Ptelea Trifoliata
Pycnanthemum virginianum
Ratibida pinnata
Rhus typthina
Rosa Carolina
Rudbeckia fulgida
Rudbeckia hirta
Rudbeckia laciniata
Rudbeckia triloba
Ruellia humilis
Salvia Azurea
Schizachyrium scoparium
Scrophularia marilandica
Scutellaria incana
Scutellaria lateriflora
Senecio aureus
Senna hebecarpa
Silphium integrifolium
Silphium laciniatum
Silphium perfoliatum
Silphium terebinthinaceum
Sisyrinchium angustifolium
Solidago caesia
Solidago canadensis
Solidago flexicaulis
Solidago juncea
Solidago nemoralis
Solidago speciosa
Sorghastrum nutans
Spirea tomentosa
Sporobolus heterolepis
Stylophorum diphyllum
Symphyotrichum cordifolium
Symphyotrichum laeve
Symphyotrichum lanceolatum
Symphyotrichum lateriflorum
Symphyotrichum novae-angliae
Symphyotrichum oblongifolium
Symphyotrichum oolentangiense
Symphyotrichum shortii
Thalictrum dasycarpum
Thalictrum dioicum
Tradescantia ohiensis
Tridens flavus
Verbena hastata
Vernonia fasciculata
Vernonia gigantea
Vernonia missurica
Veronicastrum virginicum
Wisteria frutescens
Zizia aurea
