Actaea pachypoda
Anaphalis margaritacea
Anemone cylindrica
Antennaria neglecta
Aquilegia canadensis
Aralia racemosa
Asclepias exaltata
Asclepias incarnata
Asclepias tuberosa
Blephilia ciliata
Carex grayi
Carex plantaginea
Carex sprengelii
Carex vulpinoidea
Ceanothus americanus
Chelone glabra
Coreopsis lanceolata
Dalea candida
Dalea purpurea
Echinacea pallida
Echinacea purpurea
Elymus villosus
Eragrostis spectabilis
Eurybia macrophylla
Fragaria virginiana
Gentiana andrewsii
Geranium maculatum
Geum triflorum
Heuchera americana
Iris virginica
Liatris spicata
Lobelia siphilitica
Lupinus perennis
Penstemon digitalis
Penstemon hirsutus
Pycnanthemum virginianum
Rudbeckia hirta
Ruellia humilis
Schizachyrium scoparium
Scutellaria incana
Scutellaria lateriflora
Senecio aureus
Sisyrinchium angustifolium
Solidago speciosa
Sporobolus heterolepis
Stylophorum diphyllum
Symphyotrichum laeve
Symphyotrichum lateriflorum
Symphyotrichum oblongifolium
Symphyotrichum oolentangiense
Thalictrum dioicum
Zizia aurea
